GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012
0500000US06001,06001,"Alameda County, California",1510271,1510271,1513586,1531626,1554720
0500000US06003,06003,"Alpine County, California",1175,1175,1160,1110,1129
0500000US06005,06005,"Amador County, California",38091,38091,37829,37471,37035
0500000US06007,06007,"Butte County, California",220000,220000,219968,220188,221539
0500000US06009,06009,"Calaveras County, California",45578,45578,45488,45141,44742
0500000US06011,06011,"Colusa County, California",21419,21419,21444,21407,21411
0500000US06013,06013,"Contra Costa County, California",1049025,1049025,1052887,1066516,1079597
0500000US06015,06015,"Del Norte County, California",28610,28610,28583,28513,28290
0500000US06017,06017,"El Dorado County, California",181058,181058,181143,180894,180561
0500000US06019,06019,"Fresno County, California",930450,930450,932696,940887,947895
0500000US06021,06021,"Glenn County, California",28122,28122,28098,28181,27992
0500000US06023,06023,"Humboldt County, California",134623,134623,135039,135318,134827
0500000US06025,06025,"Imperial County, California",174528,174528,174667,175897,176948
0500000US06027,06027,"Inyo County, California",18546,18546,18531,18484,18495
0500000US06029,06029,"Kern County, California",839631,839631,841687,849457,856158
0500000US06031,06031,"Kings County, California",152982,152982,152301,151941,151364
0500000US06033,06033,"Lake County, California",64665,64665,64748,64262,63983
0500000US06035,06035,"Lassen County, California",34895,34895,34820,34280,33658
0500000US06037,06037,"Los Angeles County, California",9818605,9818605,9825761,9889025,9962789
0500000US06039,06039,"Madera County, California",150865,150865,151177,152085,152218
0500000US06041,06041,"Marin County, California",252409,252409,252971,255493,256069
0500000US06043,06043,"Mariposa County, California",18251,18251,18254,18184,17905
0500000US06045,06045,"Mendocino County, California",87841,87841,87776,87489,87428
0500000US06047,06047,"Merced County, California",255793,255793,256877,259966,262305
0500000US06049,06049,"Modoc County, California",9686,9686,9706,9495,9327
0500000US06051,06051,"Mono County, California",14202,14202,14268,14417,14348
0500000US06053,06053,"Monterey County, California",415057,415057,416335,421612,426762
0500000US06055,06055,"Napa County, California",136484,136484,136824,137977,139045
0500000US06057,06057,"Nevada County, California",98764,98764,98787,98737,98292
0500000US06059,06059,"Orange County, California",3010232,3010237,3018181,3056115,3090132
0500000US06061,06061,"Placer County, California",348432,348432,350206,357105,361682
0500000US06063,06063,"Plumas County, California",20007,20007,19940,19714,19399
0500000US06065,06065,"Riverside County, California",2189641,2189641,2202361,2237330,2268783
0500000US06067,06067,"Sacramento County, California",1418788,1418788,1422316,1436262,1450121
0500000US06069,06069,"San Benito County, California",55269,55269,55583,56164,56884
0500000US06071,06071,"San Bernardino County, California",2035210,2035210,2041626,2064511,2081313
0500000US06073,06073,"San Diego County, California",3095313,3095308,3103933,3138183,3177063
0500000US06075,06075,"San Francisco County, California",805235,805235,805607,814233,825863
0500000US06077,06077,"San Joaquin County, California",685306,685308,687516,695626,702612
0500000US06079,06079,"San Luis Obispo County, California",269637,269637,269954,271345,274804
0500000US06081,06081,"San Mateo County, California",718451,718451,720105,729050,739311
0500000US06083,06083,"Santa Barbara County, California",423895,423895,424403,426101,431249
0500000US06085,06085,"Santa Clara County, California",1781642,1781642,1786540,1811820,1837504
0500000US06087,06087,"Santa Cruz County, California",262382,262382,263435,264961,266776
0500000US06089,06089,"Shasta County, California",177223,177223,177324,178031,178586
0500000US06091,06091,"Sierra County, California",3240,3240,3226,3118,3086
0500000US06093,06093,"Siskiyou County, California",44900,44900,44964,44680,44154
0500000US06095,06095,"Solano County, California",413344,413344,414095,416932,420757
0500000US06097,06097,"Sonoma County, California",483878,483878,484801,488082,491829
0500000US06099,06099,"Stanislaus County, California",514453,514451,515326,517957,521726
0500000US06101,06101,"Sutter County, California",94737,94737,94879,94951,95022
0500000US06103,06103,"Tehama County, California",63463,63463,63666,63391,63406
0500000US06105,06105,"Trinity County, California",13786,13786,13777,13744,13526
0500000US06107,06107,"Tulare County, California",442179,442179,443218,447918,451977
0500000US06109,06109,"Tuolumne County, California",55365,55365,55162,54692,54008
0500000US06111,06111,"Ventura County, California",823318,823318,825378,831126,835981
0500000US06113,06113,"Yolo County, California",200849,200849,201111,202191,204118
0500000US06115,06115,"Yuba County, California",72155,72155,72366,72547,72926
