Country,Indicator,Subject,Units,Frequency,Time,Quantity,Flag Codes
AUS,OILPROD,TOT,KTOE,A,1960,,L
AUS,OILPROD,TOT,KTOE,A,1961,,L
AUS,OILPROD,TOT,KTOE,A,1962,,L
AUS,OILPROD,TOT,KTOE,A,1963,,L
AUS,OILPROD,TOT,KTOE,A,1964,,L
AUS,OILPROD,TOT,KTOE,A,1965,,L
AUS,OILPROD,TOT,KTOE,A,1966,,L
AUS,OILPROD,TOT,KTOE,A,1967,,L
AUS,OILPROD,TOT,KTOE,A,1968,,L
AUS,OILPROD,TOT,KTOE,A,1969,,L
AUS,OILPROD,TOT,KTOE,A,1970,,L
AUS,OILPROD,TOT,KTOE,A,1971,14226.194,
AUS,OILPROD,TOT,KTOE,A,1972,15029.094,
AUS,OILPROD,TOT,KTOE,A,1973,18720.577,
AUS,OILPROD,TOT,KTOE,A,1974,18498.696,
AUS,OILPROD,TOT,KTOE,A,1975,19736.07,
AUS,OILPROD,TOT,KTOE,A,1976,20177.769,
AUS,OILPROD,TOT,KTOE,A,1977,21259.31,
AUS,OILPROD,TOT,KTOE,A,1978,20694.803,
AUS,OILPROD,TOT,KTOE,A,1979,20828.964,
AUS,OILPROD,TOT,KTOE,A,1980,19471.877,
AUS,OILPROD,TOT,KTOE,A,1981,19007.475,
AUS,OILPROD,TOT,KTOE,A,1982,18706.129,
AUS,OILPROD,TOT,KTOE,A,1983,18220.054,
AUS,OILPROD,TOT,KTOE,A,1984,22148.899,
AUS,OILPROD,TOT,KTOE,A,1985,25468.86,
AUS,OILPROD,TOT,KTOE,A,1986,26561.559,
AUS,OILPROD,TOT,KTOE,A,1987,26399.764,
AUS,OILPROD,TOT,KTOE,A,1988,26322.923,
AUS,OILPROD,TOT,KTOE,A,1989,23679.705,
AUS,OILPROD,TOT,KTOE,A,1990,26752.604,
AUS,OILPROD,TOT,KTOE,A,1991,26717.935,
AUS,OILPROD,TOT,KTOE,A,1992,23439.126,
AUS,OILPROD,TOT,KTOE,A,1993,22940.108,
AUS,OILPROD,TOT,KTOE,A,1994,21286.521,
AUS,OILPROD,TOT,KTOE,A,1995,22718.44,
AUS,OILPROD,TOT,KTOE,A,1996,20539.57,
AUS,OILPROD,TOT,KTOE,A,1997,20494.396,
AUS,OILPROD,TOT,KTOE,A,1998,22008.258,
AUS,OILPROD,TOT,KTOE,A,1999,16551.631,
AUS,OILPROD,TOT,KTOE,A,2000,25081.157,
AUS,OILPROD,TOT,KTOE,A,2001,26611.828,
AUS,OILPROD,TOT,KTOE,A,2002,30307.711,
AUS,OILPROD,TOT,KTOE,A,2003,29403.176,
AUS,OILPROD,TOT,KTOE,A,2004,25785.035,
AUS,OILPROD,TOT,KTOE,A,2005,22928.552,
AUS,OILPROD,TOT,KTOE,A,2006,20414.553,
AUS,OILPROD,TOT,KTOE,A,2007,23214.306,
AUS,OILPROD,TOT,KTOE,A,2008,21500.836,
AUS,OILPROD,TOT,KTOE,A,2009,22170.045,
AUS,OILPROD,TOT,KTOE,A,2010,23141.817,
AUS,OILPROD,TOT,KTOE,A,2011,22232.029,
AUS,OILPROD,TOT,KTOE,A,2012,20728.672,
AUS,OILPROD,TOT,KTOE,A,2013,17979.347,
AUS,OILPROD,TOT,KTOE,A,2014,16925.631,
AUS,OILPROD,TOT,KTOE,A,2015,16313.153,
AUT,OILPROD,TOT,KTOE,A,1960,,L
AUT,OILPROD,TOT,KTOE,A,1961,,L
AUT,OILPROD,TOT,KTOE,A,1962,,L
AUT,OILPROD,TOT,KTOE,A,1963,,L
AUT,OILPROD,TOT,KTOE,A,1964,,L
AUT,OILPROD,TOT,KTOE,A,1965,,L
