"Well","ESP_OD_Casing_inches","Motor_Oil_Temperature","Intake_Temperature_F","Intake_Pressure_Mpa","Motor_Vibration","Current_Leakage_mA","PressureROC","Surface_Temperature"
"Well_999A",4.5,407,410,5.47,17.4,7.826,1.82,292
"Well_4377AG",7,471,470,10.31,15.7,3.472,0.09,337
"Well_4549G",5.5,351,347,4.29,17.1,15.791,2.47,243
"Well_4231N",7,344,347,4.37,17.9,10.489,2.68,244
"Well_175A",4.5,472,473,6.96,15,2.961,0.32,340
"Well_3323AG",4.5,465,463,5.01,16.2,13.296,1.32,332
"Well_192G",5.5,458,459,8.13,15.1,14.357,2.71,344
"Well_2811N",4.5,459,462,6.83,16.7,1.621,0.73,332
"Well_2710A",5.5,482,477,3.9,16.5,14.39,2.85,342
"Well_3103AG",5.5,423,424,3.4,17.3,1.649,2.2,320
"Well_3520G",4.5,353,356,11.23,17.9,4.656,1.36,251
"Well_109N",4.5,430,434,4.76,17.6,7.77,2.6,310
"Well_2608A",5.5,490,492,8.4,15.7,5.091,0.24,355
"Well_3950AG",4.5,325,320,10.26,15.7,14.886,0.16,223
"Well_605G",4.5,405,406,8.37,19.6,0.746,2.86,289
"Well_3804N",4.5,434,432,4.53,18.2,8.38,0.99,308
"Well_2820A",4.5,432,435,7.87,16.1,6.29,2.35,311
"Well_4141AG",4.5,406,406,4.2,15.6,7.298,1.42,304
"Well_1083G",4.5,355,351,11.99,16.1,5.425,0.81,246
"Well_66N",7,299,303,8.98,18.9,8.103,2.29,230
"Well_368A",4.5,476,476,9.53,15.3,15.038,0.93,342
"Well_3661AG",4.5,416,411,10.17,19.5,1.843,2.09,292
"Well_1196G",4.5,332,329,8.49,16.6,2.724,1.77,230
"Well_26N",4.5,436,436,7.36,19.9,15.797,2.17,311
"Well_3289A",7,387,392,5.63,16,7.402,0.94,279
"Well_490AG",7,454,458,9.81,19.7,0.639,1.63,329
"Well_4198G",7,498,493,7.09,16.6,1.192,2.82,355
"Well_2929N",4.5,319,315,11.15,16.2,0.509,2.59,219
"Well_3059A",4.5,311,307,10.97,19.9,12.298,0.52,213
"Well_47AG",5.5,438,438,6.8,18.5,6.132,1.76,313
"Well_3020G",4.5,346,349,5.02,15.2,6.355,2.06,246
"Well_698N",4.5,299,300,3.09,16.2,15.284,0.06,209
"Well_1678A",4.5,443,442,9.02,15.7,2.317,1.97,316
"Well_571AG",5.5,348,350,6.37,16.9,1.054,0.72,263
"Well_3508G",4.5,405,402,11.44,18.7,13.45,2.54,304
"Well_4314N",5.5,425,429,8.82,18.7,11.497,0.77,307
"Well_383A",7,348,348,10.42,17,1.823,1.99,245
"Well_3718AG",5.5,468,466,3.43,17.3,10.576,1.88,334
"Well_4735G",4.5,387,383,3.48,15.6,10.443,1.25,271
"Well_3527N",4.5,483,483,10.33,16.8,15.707,1.7,347
"Well_3638A",5.5,404,407,6.25,20,10.101,1.1,290
"Well_1086AG",4.5,464,468,7.74,19.3,9.842,1.23,356
"Well_408G",4.5,400,400,5.53,17.2,13.863,0.89,284
"Well_356N",4.5,468,466,11.31,19.3,8.427,2.07,353
"Well_4265A",4.5,436,432,9.44,15.4,7.993,2.63,308
"Well_1080AG",4.5,416,412,5.01,18.9,9.946,2.71,293
"Well_2534G",4.5,430,430,10.72,16.4,1.825,0.36,307
"Well_4785N",7,303,301,10.19,15.2,2.113,1.92,209
"Well_3307A",5.5,306,302,4.16,19.9,11.65,1.99,209
"Well_2457AG",4.5,474,471,11.93,18.7,0.523,1.64,338
"Well_4869G",4.5,474,477,8.62,18.1,5.365,0.3,343
"Well_1259N",5.5,416,414,3.33,18.5,5.031,0.38,294
"Well_4801A",7,480,485,6.38,18.9,10.871,2.92,350
"Well_3884AG",5.5,381,382,3.25,16.3,3.804,0.75,287
"Well_2655G",4.5,333,334,8.27,18,2.832,2.61,234
"Well_4645N",5.5,485,488,4.14,20,14.865,2.83,352
"Well_4793A",4.5,306,305,5.86,19.3,10.148,0.9,212
"Well_2561AG",4.5,417,418,8.62,19.9,8.375,0.83,298
"Well_1798G",7,406,402,6.06,18.3,4.849,1.83,285
"Well_4597N",4.5,310,315,11.87,19.6,13.24,0.82,221
"Well_4551A",5.5,336,334,7.42,16.4,6.95,1.85,234
"Well_1285AG",5.5,351,349,7.91,16.9,11.829,1.2,245
"Well_1021G",4.5,334,335,4.74,18.8,14.906,0.74,235
"Well_1558N",4.5,417,420,6.01,15.8,9.095,0.4,300
"Well_4879A",5.5,331,336,3.51,19.7,10.162,1.68,236
"Well_2527AG",5.5,474,475,10.09,15.9,15.576,1.52,341
"Well_2047G",5.5,499,499,10.74,15.6,6.692,2.32,360
"Well_291N",4.5,360,357,3.15,16,8.521,2.53,251
"Well_4900A",4.5,338,335,8.62,15.1,7.234,0.86,234
"Well_172AG",5.5,333,332,7.35,17.2,7.484,2.56,250
"Well_4111G",5.5,305,309,4.89,15,3.909,1.35,216
"Well_2773N",5.5,349,344,6.73,17.5,5.923,1.77,241
"Well_3138A",4.5,489,489,10.69,18,12.967,0.78,352
"Well_4539AG",7,500,497,11.51,17.8,2.073,1.56,358
"Well_2552G",4.5,363,359,9.86,17.4,5.103,2.93,270
"Well_2325N",4.5,401,403,8.59,19.2,12.421,2.29,287
"Well_3145A",4.5,337,340,11.98,17.5,11.328,1.85,239
"Well_1976AG",5.5,473,475,7.12,17,0.861,2,342
"Well_4046G",5.5,478,481,9.07,17,4.747,0.44,346
"Well_500N",5.5,488,483,7.53,17.2,1.235,2.7,347
"Well_101A",7,501,500,7.98,17.1,14.171,1.49,360
"Well_1931AG",5.5,389,385,8.34,15.8,14.757,0.68,272
"Well_3113G",5.5,403,399,6.9,17.6,5.198,0.46,283
"Well_3689N",4.5,477,480,10.03,18.5,6.168,2.14,346
"Well_4319A",4.5,377,378,5.32,18.2,1.91,2.83,286
"Well_17AG",4.5,356,357,9.7,16.8,6.532,0.57,252
"Well_1234G",5.5,460,463,10.04,20,11.333,0.39,333
"Well_1442N",4.5,416,421,9.28,15.1,9.521,0.51,301
"Well_514A",5.5,299,301,10.19,17.2,10.444,3,210
"Well_3005AG",5.5,337,338,7.26,16.5,8.563,0.45,237
"Well_611G",4.5,325,327,9.39,19.9,14.351,2.35,229
"Well_650N",5.5,491,489,4.82,17.7,6.29,0.79,352
"Well_4145A",5.5,470,473,7.03,19,12.393,0.08,340
"Well_2301AG",5.5,454,452,8.82,20,2.467,0.75,343
"Well_4044G",5.5,456,457,8.77,17.3,14.95,0.35,328
"Well_2745N",4.5,312,315,7.62,17.5,9.664,0.91,220
"Well_3618A",4.5,359,362,10.57,16.1,9.237,2.84,256
"Well_2568AG",7,463,466,5.38,16,1.926,1.46,335
"Well_2636G",4.5,331,330,6.65,19,10.927,2.98,231
"Well_4993N",5.5,314,319,7.45,18.5,9.735,1.44,224
"Well_1765A",7,404,402,6.31,20,7.475,0.12,285
"Well_1236AG",4.5,427,432,7.08,16.3,10.388,2.26,309
"Well_144G",7,468,469,4.63,19,13.347,2.07,337
"Well_786N",5.5,311,312,5.15,18.3,12.554,0.36,218
"Well_3432A",4.5,337,340,10.28,15.7,6.809,2.26,255
"Well_2230AG",5.5,418,420,8.07,15.9,12.235,1.26,300
"Well_2476G",4.5,333,334,3.88,15.6,4.773,1.7,234
"Well_1823N",5.5,446,444,10.43,18.7,9.831,0.09,317
"Well_18A",5.5,355,360,8.2,16.1,9.38,0.52,270
"Well_307AG",7,452,449,4.93,16.9,12.305,0.29,338
"Well_2972G",5.5,461,460,8.2,15.3,7.265,0.05,330
"Well_3581N",4.5,459,458,8.39,19.5,7.806,0.53,328
"Well_2895A",4.5,338,337,3.37,15.3,7.007,1.28,251
"Well_4024AG",4.5,346,346,3,19.1,1.897,1.38,243
"Well_1526G",7,335,338,5.27,17.9,6.527,1.75,238
"Well_3800N",4.5,379,383,4.39,16.9,15.36,2.1,272
"Well_4837A",4.5,423,428,3.17,15.8,10.193,0.5,306
"Well_2518AG",4.5,364,363,10.64,17.2,12.456,0.9,256
"Well_904G",4.5,465,464,6.86,15,2.217,1.4,333
"Well_171N",4.5,368,372,6.34,18.6,9.945,2.14,263
"Well_294A",4.5,381,384,11.05,15.2,14.722,2.92,287
"Well_3590AG",4.5,460,463,3.58,17.1,3.729,1.85,333
"Well_121G",5.5,445,450,6.03,18.2,9.711,0.74,323
"Well_1953N",4.5,333,334,10.49,20,1.451,0.55,234
"Well_960A",5.5,314,318,5.98,17.2,5.166,2.51,223
"Well_1022AG",4.5,387,392,5.49,19.1,13.59,1.96,279
"Well_4936G",4.5,457,455,9.33,19.7,3.768,1.12,326
"Well_817N",4.5,405,410,11,16.4,3.648,1.53,292
"Well_358A",4.5,491,496,10.46,17.7,8.206,2.75,358
"Well_4976AG",5.5,499,496,10.52,17.6,1.844,2.03,357
"Well_1704G",4.5,409,404,7.24,17.8,0.96,1.45,286
"Well_4917N",4.5,313,316,7.95,15.6,15.68,0.9,221
"Well_2964A",4.5,323,325,7.84,19.5,8.641,2.74,228
"Well_2099AG",4.5,485,485,10.21,17,13.587,2.91,366
"Well_4622G",4.5,480,484,7.87,16.2,5.718,2.12,349
"Well_2874N",4.5,345,345,11.54,17.9,4.447,0.11,242
"Well_1064A",5.5,310,313,9.18,17.2,11.483,1.75,219
"Well_4996AG",4.5,390,388,5.51,19.3,3.922,2.5,275
"Well_205G",7,321,316,10.92,17.1,10.559,0.92,220
"Well_1481N",4.5,469,464,7.1,16.7,9.479,2.06,349
"Well_2451A",4.5,387,391,3.59,19.2,8.575,2.97,278
"Well_2183AG",4.5,346,346,9.56,15.3,12.269,1.12,243
"Well_877G",4.5,374,370,7.2,19.4,10.574,1.31,261
